PathParameter	MeanPathLikelihood	MLContribution
0.0000	-8.0408e+06	-1.6902
2.1544e-07	-7.6495e+06	-13.894
2.1715e-06	-6.5563e+06	-39.677
8.3895e-06	-6.2057e+06	-83.116
2.1888e-05	-6.1095e+06	-147.18
4.6050e-05	-6.0729e+06	-233.47
8.4561e-05	-6.0520e+06	-343.23
0.00014136	-6.0337e+06	-476.81
0.00022061	-5.9987e+06	-635.48
0.00032669	-5.9825e+06	-822.06
0.00046416	-5.9779e+06	-1037.5
0.00063774	-5.9762e+06	-1282.1
0.00085232	-5.9737e+06	-1556.8
0.0011130	-5.9722e+06	-1862.2
0.0014248	-5.9703e+06	-2199.3
0.0017932	-5.9689e+06	-2568.8
0.0022237	-5.9677e+06	-2971.6
0.0027216	-5.9667e+06	-3408.2
0.0032929	-5.9660e+06	-3879.5
0.0039432	-5.9654e+06	-4385.8
0.0046784	-5.9645e+06	-4927.8
0.0055047	-5.9638e+06	-5506.2
0.0064280	-5.9630e+06	-6121.0
0.0074546	-5.9614e+06	-6772.8
0.0085909	-5.9599e+06	-7461.8
0.0098431	-5.9575e+06	-8187.4
0.011218	-5.9535e+06	-8951.7
0.012722	-5.9518e+06	-9756.7
0.014361	-5.9497e+06	-10601
0.016143	-5.9474e+06	-11485
0.018075	-5.9455e+06	-12409
0.020162	-5.9428e+06	-13374
0.022413	-5.9414e+06	-14382
0.024834	-5.9398e+06	-15432
0.027432	-5.9383e+06	-16523
0.030215	-5.9363e+06	-17658
0.033190	-5.9354e+06	-18837
0.036364	-5.9344e+06	-20060
0.039745	-5.9332e+06	-21327
0.043339	-5.9329e+06	-22640
0.047156	-5.9320e+06	-23998
0.051201	-5.9317e+06	-25401
0.055484	-5.9313e+06	-26850
0.060011	-5.9308e+06	-28346
0.064790	-5.9306e+06	-29888
0.069830	-5.9303e+06	-31478
0.075138	-5.9301e+06	-33114
0.080722	-5.9299e+06	-34798
0.086591	-5.9297e+06	-36531
0.092751	-5.9296e+06	-38312
0.099213	-5.9294e+06	-40141
0.10598	-5.9293e+06	-42019
0.11307	-5.9292e+06	-43947
0.12048	-5.9290e+06	-45924
0.12823	-5.9289e+06	-47951
0.13631	-5.9289e+06	-50029
0.14475	-5.9288e+06	-52156
0.15355	-5.9287e+06	-54335
0.16271	-5.9287e+06	-56565
0.17226	-5.9286e+06	-58846
0.18218	-5.9285e+06	-61179
0.19250	-5.9285e+06	-63564
0.20322	-5.9285e+06	-66001
0.21436	-5.9284e+06	-68491
0.22591	-5.9284e+06	-71034
0.23789	-5.9283e+06	-73630
0.25031	-5.9283e+06	-76279
0.26318	-5.9283e+06	-78982
0.27650	-5.9282e+06	-81739
0.29029	-5.9282e+06	-84550
0.30455	-5.9282e+06	-87415
0.31930	-5.9282e+06	-90335
0.33454	-5.9281e+06	-93310
0.35028	-5.9281e+06	-96341
0.36653	-5.9281e+06	-99426
0.38330	-5.9281e+06	-1.0257e+05
0.40060	-5.9280e+06	-1.0577e+05
0.41844	-5.9280e+06	-1.0902e+05
0.43683	-5.9280e+06	-1.1233e+05
0.45578	-5.9280e+06	-1.1570e+05
0.47530	-5.9280e+06	-1.1912e+05
0.49539	-5.9280e+06	-1.2260e+05
0.51608	-5.9279e+06	-1.2614e+05
0.53735	-5.9279e+06	-1.2973e+05
0.55924	-5.9279e+06	-1.3339e+05
0.58174	-5.9279e+06	-1.3710e+05
0.60487	-5.9279e+06	-1.4087e+05
0.62863	-5.9279e+06	-1.4470e+05
0.65304	-5.9278e+06	-1.4859e+05
0.67811	-5.9278e+06	-1.5253e+05
0.70384	-5.9278e+06	-1.5654e+05
0.73025	-5.9278e+06	-1.6061e+05
0.75734	-5.9278e+06	-1.6473e+05
0.78513	-5.9278e+06	-1.6892e+05
0.81363	-5.9278e+06	-1.7316e+05
0.84284	-5.9278e+06	-1.7747e+05
0.87278	-5.9278e+06	-1.8183e+05
0.90345	-5.9278e+06	-1.8626e+05
0.93488	-5.9277e+06	-1.9075e+05
0.96705	-5.9277e+06	-1.9530e+05
1.0000	-5.9277e+06	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -5928980.333681199

Inner area for path parameter in (2.1544e-07,0.96705) = -5.9290e+06
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-6.0417e+06	-1.6883
2.1544e-07	-6.0566e+06	-13.610
2.1715e-06	-6.0430e+06	-39.341
8.3895e-06	-6.0245e+06	-82.939
2.1888e-05	-5.9989e+06	-147.02
4.6050e-05	-6.0075e+06	-233.44
8.4561e-05	-5.9894e+06	-343.12
0.00014136	-5.9737e+06	-477.04
0.00022061	-5.9714e+06	-635.31
0.00032669	-5.9704e+06	-822.02
0.00046416	-5.9695e+06	-1037.4
0.00063774	-5.9692e+06	-1282.2
0.00085232	-5.9679e+06	-1556.8
0.0011130	-5.9675e+06	-1862.3
0.0014248	-5.9663e+06	-2199.4
0.0017932	-5.9649e+06	-2568.9
0.0022237	-5.9637e+06	-2971.6
0.0027216	-5.9641e+06	-3408.2
0.0032929	-5.9624e+06	-3879.5
0.0039432	-5.9615e+06	-4385.9
0.0046784	-5.9619e+06	-4927.8
0.0055047	-5.9606e+06	-5506.1
0.0064280	-5.9599e+06	-6121.3
0.0074546	-5.9577e+06	-6772.7
0.0085909	-5.9562e+06	-7462.1
0.0098431	-5.9542e+06	-8188.3
0.011218	-5.9498e+06	-8951.3
0.012722	-5.9490e+06	-9757.1
0.014361	-5.9476e+06	-10602
0.016143	-5.9446e+06	-11485
0.018075	-5.9428e+06	-12410
0.020162	-5.9403e+06	-13374
0.022413	-5.9393e+06	-14382
0.024834	-5.9381e+06	-15432
0.027432	-5.9364e+06	-16524
0.030215	-5.9346e+06	-17657
0.033190	-5.9337e+06	-18837
0.036364	-5.9331e+06	-20060
0.039745	-5.9320e+06	-21327
0.043339	-5.9319e+06	-22641
0.047156	-5.9312e+06	-23998
0.051201	-5.9309e+06	-25401
0.055484	-5.9306e+06	-26851
0.060011	-5.9301e+06	-28346
0.064790	-5.9300e+06	-29889
0.069830	-5.9298e+06	-31478
0.075138	-5.9296e+06	-33115
0.080722	-5.9294e+06	-34799
0.086591	-5.9292e+06	-36531
0.092751	-5.9292e+06	-38312
0.099213	-5.9291e+06	-40141
0.10598	-5.9290e+06	-42019
0.11307	-5.9289e+06	-43947
0.12048	-5.9287e+06	-45924
0.12823	-5.9286e+06	-47951
0.13631	-5.9286e+06	-50029
0.14475	-5.9286e+06	-52157
0.15355	-5.9285e+06	-54335
0.16271	-5.9284e+06	-56565
0.17226	-5.9284e+06	-58846
0.18218	-5.9284e+06	-61179
0.19250	-5.9283e+06	-63564
0.20322	-5.9283e+06	-66002
0.21436	-5.9283e+06	-68491
0.22591	-5.9282e+06	-71034
0.23789	-5.9282e+06	-73630
0.25031	-5.9282e+06	-76279
0.26318	-5.9281e+06	-78982
0.27650	-5.9281e+06	-81739
0.29029	-5.9281e+06	-84550
0.30455	-5.9281e+06	-87415
0.31930	-5.9281e+06	-90335
0.33454	-5.9280e+06	-93310
0.35028	-5.9280e+06	-96340
0.36653	-5.9280e+06	-99427
0.38330	-5.9279e+06	-1.0257e+05
0.40060	-5.9279e+06	-1.0577e+05
0.41844	-5.9279e+06	-1.0902e+05
0.43683	-5.9279e+06	-1.1233e+05
0.45578	-5.9279e+06	-1.1570e+05
0.47530	-5.9279e+06	-1.1912e+05
0.49539	-5.9279e+06	-1.2260e+05
0.51608	-5.9278e+06	-1.2614e+05
0.53735	-5.9278e+06	-1.2973e+05
