beast_name,clone
AUSMDU00025553@SEA@7/2016,VN4
CT49_2@Vietnam@7/2012,VN4
01_0464@Vietnam@4/2015,VN4
SAMEA8474055@Vietnam@7/2014,VN4
02_1060@Vietnam@8/2014,VN4
01_0052@Vietnam@6/2014,VN4
03_0122@Vietnam@12/2014,VN4
02_1871@Vietnam@8/2015,VN4
02_1428@Vietnam@3/2015,VN4
01_0936@Vietnam@4/2016,VN4
Hue_11@Vietnam@7/2009,VBSI
VNB845@Vietnam@7/2010,VBSI
VNB1505@Vietnam@7/2011,VBSI
VNB176@Vietnam@7/2008,VBSI
FDA426234@Vietnam@6/2007,VBSI
VNB617@Vietnam@7/2009,VBSI
VNS30385@Vietnam@7/2010,VBSI
VNS10146@Vietnam@7/2009,VBSI
VNB1222@Vietnam@7/2010,VBSI
71_H_034@Vietnam@7/2012,VBSI
VNB745@Vietnam@7/2009,VBSI
VNB1792@Vietnam@7/2012,VBSI
CT55_1@Vietnam@7/2012,VBSI
03_0281@Vietnam@5/2015,VN1
02_0011@Vietnam@9/2014,VN1
02_2056@Vietnam@10/2015,VN1
03_0300@Vietnam@5/2015,VN1
01_0057@Vietnam@6/2014,VN1
01_0792@Vietnam@10/2015,VN1
01_0906@Vietnam@2/2016,VN1
01_0396@Vietnam@1/2015,VN1
73_H_129@Vietnam@7/2012,VN1
VNB1479@Vietnam@7/2011,VN1
SAMEA8474061@Vietnam@7/2014,VN1
VNB455@Vietnam@7/2009,VN1
03_0087@Vietnam@11/2014,VN3
01_0286@Vietnam@11/2014,VN3
01_0696@Vietnam@8/2015,VN3
VNB2605@Vietnam@7/2013,VN3
SAMEA8474059@Vietnam@7/2014,VN3
02_1347@Vietnam@2/2015,VN3
01_0470@Vietnam@4/2015,VN3
02_1566@Vietnam@5/2015,VN3
02_1190@Vietnam@12/2014,VN3
74_H_253@Vietnam@7/2012,VN3
03_0758@Vietnam@11/2015,VN3
AUSMDU00025529@SEA@7/2012,VN3
H122040374@UK@7/2012,VN3
72_H_265@Vietnam@7/2012,VN3
03_0324@Vietnam@5/2015,VN3
AUSMDU00027967@Australia@7/2014,VN2
03_0292@Vietnam@5/2015,VN2
01_0280@Vietnam@11/2014,VN2
01_0048@Vietnam@6/2014,VN2
02_1687@Vietnam@7/2015,VN2
01_0753@Vietnam@9/2015,VN2
03_0770@Vietnam@12/2015,VN2
02_1023@Vietnam@6/2014,VN2
01_0534@Vietnam@6/2015,VN2
02_1439@Vietnam@3/2015,VN2
02_2170@Vietnam@2/2016,VN2
01_0012@Vietnam@5/2014,VN2
02_1688@Vietnam@7/2015,VN2
02_1273@Vietnam@1/2015,VN2
02_1089@Vietnam@10/2014,VN2
SAMEA4787837@Cambodia@7/2016,VN2
71_G_450@Vietnam@7/2012,VN2
AUSMDU00027961@SEA@7/2014,VN2
