gene,start,end,strand,product
thrL,190,255,,Thr operon leader peptide ThrL
thrA,337,2799,,bifunctional aspartate kinase/homoserine dehydrogenase I
B0X74_01575,2801,3730,,homoserine kinase ThrB
thrC,3734,5020,,threonine synthase ThrC
yaaA,5114,5887,c,peroxide stress protein YaaA
yaaJ,5966,7396,c,sodium:alanine symporter family protein
talB,7665,8618,,transaldolase B
mog,8729,9319,,molybdopterin adenylyltransferase
satP,9376,9942,c,succinate-acetate/proton symporter SatP
yaaW,10092,10805,c,UPF0174 protein YaaW
yaaI,10841,11245,c,UPF0412 protein YaaI
dnaK,11593,13509,,molecular chaperone DnaK
dnaJ,13595,14734,,molecular chaperone DnaJ
B0X74_01630,15014,15961,,putative LysR family transcriptional regulator
B0X74_01635,16088,16432,,phage holin-like protein
B0X74_01640,16493,17026,c,lysozyme family protein
B0X74_01645,17043,17486,c,helix-turn-helix domain protein
chiA,17867,19948,,chitinase ChiA
B0X74_01655,20040,23036,,putative hydroxymethyltransferase
B0X74_01660,23317,24021,,putative DNA-binding transcriptional regulator
bcfA,24451,24993,,fimbrial protein BcfA
bcfB,25094,25780,,fimbrial chaperone protein BcfB
bcfC,25785,28406,,outer membrane usher protein
bcfD,28407,29414,,fimbrial adhesin FimH/BcfD
bcfE,29415,29960,,fimbrial protein BcfE
bcfF,29976,30494,,fimbrial protein BcfF
bcfG,30487,31191,,pili assembly chaperone BcfG
bcfH,31256,32101,,putative thiol-disulfide isomerase BcfH
B0X74_01705,32140,32427,,uncharacterized protein
B0X74_01710,32527,32976,c,transcriptional regulator
B0X74_01715,33346,34350,,LysR family transcriptional regulator
B0X74_01720,34358,34798,c,transcriptional regulator
assT4,35321,37039,,arylsulfotransferase family protein
B0X74_01730,37085,38656,c,"multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase"
B0X74_01735,38755,39516,c,uncharacterized protein
aslA2,40113,41606,,AslA family arylsulfatase
aslB2,41705,42895,,anaerobic sulfatase maturase
B0X74_01750,42920,44167,,uncharacterized protein
assT5,44294,46009,,arylsulfatase family protein
nhaA,46172,47338,,Na+/H+ antiporter NhaA
nhaR,47400,48299,,transcriptional activator NhaR
B0X74_01770,48354,50393,c,"alpha-glucosidase, glycosyl hydrolase family GH31"
B0X74_01775,50433,51806,c,Na+/melibiose symporter or related transporter
rpsT,52262,52525,c,30S ribosomal protein S20 (RpsT)
yaaY,52631,52846,,DUF2575 family protein
ribF,52854,53792,,bifunctional riboflavin kinase/FMN adenylyltransferase
ileS,53837,56671,,isoleucine--tRNA ligase
lspA,56671,57171,,signal peptidase II
slpA,57326,57775,,peptidylprolyl isomerase
ispH,57778,58728,,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
B0X74_01815,58928,60130,,uncharacterized protein
rihC,60146,61066,,non-specific ribonucleoside hydrolase RihC
citB,61088,61774,c,response regulator CitB
citA,61776,63395,c,histidine kinase
B0X74_01835,63530,64831,c,putative oxaloacetate decarboxylase subunit beta
B0X74_01840,64844,66619,c,oxaloacetate decarboxylase subunit alpha
oadG,66636,66875,c,oxaloacetate decarboxylase subunit gamma
citP,67034,68374,c,citrate:sodium symporter
citC2,68619,69662,,[citrate (pro-3S)-lyase] ligase
citD2,69692,69985,,citrate lyase ACP
citE2,69982,70851,,citrate lyase subunit beta
citF2,70862,72382,,citrate lyase subunit alpha
citX2,72382,72933,,holo-ACP synthase CitX2
citG2,72911,73819,,triphosphoribosyl-dephospho-CoA synthase
dapB,73999,74820,,4-hydroxy-tetrahydrodipicolinate reductase
B0X74_01890,74946,75221,c,uncharacterized protein
carA,75861,77009,,carbamoyl-phosphate synthase small subunit
carB,77028,80255,,carbamoyl-phosphate synthase large chain CarB
caiF,80529,80924,,transcriptional activator CaiF
caiE,81001,81597,c,phenylacetic acid degradation protein PaaY
caiD,81706,82491,c,carnitinyl-CoA dehydratase
caiC,82545,84098,c,ATP-dependent acyl-CoA ligase
caiB,84161,85378,c,L-carnitine CoA-transferase
caiA,85490,86632,c,crotonobetainyl-CoA--carnitine CoA-transferase
caiT,86667,88184,c,L-carnitine/gamma-butyrobetaine antiporter
B0X74_01940,88412,88597,,uncharacterized protein
fixA,88665,89435,,putative electron transfer flavoprotein FixA
fixB,89451,90392,,putative electron transfer flavoprotein FixB
fixC,90442,91728,,electron transfer flavoprotein-quinone oxidoreductase FixC
fixX,91725,92012,,ferredoxin-like protein FixX
yaaU,92159,93499,,MFS transporter
B0X74_01970,93588,93818,,DUF903 domain protein
B0X74_01975,94112,94528,,uncharacterized protein
srfN,94752,95042,c,DUF1471 domain effector protein SrfN
B0X74_01985,95252,95446,,uncharacterized protein
aslA,95940,97829,,acid-inducible sulfatase AslA
kefF,98236,98766,,glutathione-regulated potassium-efflux system ancillary protein KefF
kefC,98759,100621,,glutathione-regulated potassium-efflux system protein KefC
folA,100820,101299,,dihydrofolate reductase FolA
apaH,101405,102253,c,bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
apaG,102264,102641,c,Co2+/Mg2+ efflux protein ApaG
ksgA,102644,103465,c,ribosomal RNA small subunit methyltransferase A
pdxA,103462,104451,c,4-hydroxythreonine-4-phosphate dehydrogenase PdxA
surA,104451,105737,c,chaperone SurA
lptD,105791,108151,c,LPS-assembly protein LptD
djlA,108405,109217,,Dna-J like membrane chaperone protein DjlA
rluA,109312,109971,c,bifunctional tRNA pseudouridine(32) synthase/ribosomal large subunit pseudouridine synthase RluA
rapA,109983,112889,c,RNA polymerase-associated protein RapA
polB,113063,115414,c,DNA polymerase II
B0X74_02065,115458,116078,c,YdcF-like/DUF218 domain protein
B0X74_02080,116797,117216,,DUF4751 domain-containing protein
araD,117222,117917,c,L-ribulose-5-phosphate 4-epimerase
araA,118058,119560,c,L-arabinose isomerase
araB,119571,121280,c,ribulokinase
araC,121621,122466,,arabinose operon regulatory protein
yabI,122585,123352,,ionizing radiation survival protein YabI
thiQ,123391,124098,c,thiamine import ATP-binding protein ThiQ
thiP,124082,125692,c,thiamine/thiamine pyrophosphate ABC transporter permease ThiP
tbpA,125668,126651,c,thiamine transporter substrate binding subunit
sgrR,126829,128487,c,transcriptional regulator SgrR
sgrT,128580,128702,,inhibitor of glucose transporter
leuD,129038,129643,c,3-isopropylmalate dehydratase small subunit
leuC,129654,131054,c,3-isopropylmalate dehydratase large subunit
leuB,131057,132148,c,3-isopropylmalate dehydrogenase
leuA,132148,133719,c,2-isopropylmalate synthase
leuL,133807,133893,c,leu operon leader peptide
B0X74_02160,134546,135754,c,IS4 family transposase
leuO,135888,136832,,LysR family transcriptional activator LeuO
ilvI,137154,138878,,acetolactate synthase isozyme 3 large subunit
